차아, 57, 140
라가, 59, 162
마라, 48, 183
파다, 90, 195
타마, 76, 177
아차, 72, 190
카가, 59, 162
사차, 99, 185
타다, 98, 145
타라, 44, 186
다파, 43, 187
파하, 42, 158
가사, 84, 188
나가, 59, 172
차바, 59, 176
라가, 43, 166
카가, 47, 140
타타, 79, 177
카카, 87, 164
자자, 62, 191
라파, 94, 187
가자, 47, 184
차카, 75, 169
파사, 96, 173
파마, 50, 163
다아, 85, 141
차다, 96, 149
아라, 87, 179
사아, 61, 194
파마, 45, 148
나마, 48, 143
다파, 87, 160
다하, 69, 181
자나, 49, 164
바다, 49, 149
카바, 75, 168
파바, 55, 153
다가, 54, 199
카파, 92, 163
다차, 68, 190
마카, 89, 168
바가, 71, 154
타나, 64, 171
나차, 94, 190
카마, 48, 155
차다, 88, 155
차차, 44, 168
다가, 98, 159
카나, 86, 153
하차, 50, 187
파차, 43, 177
타카, 74, 176
사가, 77, 169
하아, 70, 153
파마, 52, 174
아타, 49, 140
차라, 86, 160
사마, 53, 184
나아, 66, 159
사다, 80, 157
가라, 92, 185
아아, 52, 151
차파, 80, 153
카라, 85, 188
라가, 49, 189
사하, 94, 155
파라, 66, 142
사자, 95, 199
사하, 78, 177
라나, 69, 187
나다, 75, 146
타카, 94, 199
다다, 47, 179
가카, 91, 141
라라, 72, 180
차차, 82, 175
마자, 58, 180
차아, 85, 193
자가, 59, 183
카차, 43, 157
라자, 98, 145
라사, 53, 186
사바, 55, 168
차파, 59, 142
마사, 49, 178
파다, 59, 162
나라, 90, 175
마다, 40, 197
나자, 74, 147
카다, 49, 151
카하, 89, 191
하나, 61, 154
다차, 98, 159
카가, 41, 166
차나, 49, 151
사타, 89, 174
카라, 80, 181
아차, 45, 191
마사, 40, 186
가라, 97, 166
라라, 76, 183
자파, 85, 184
바나, 43, 167
나파, 51, 197
사자, 61, 153
타파, 57, 150
타라, 74, 149
마바, 90, 168
사아, 81, 170
하바, 50, 144
파바, 81, 151
하마, 43, 149
카바, 61, 166
바타, 48, 191
타나, 94, 146
나가, 53, 155
사아, 41, 157
나타, 76, 171
차차, 58, 181
카아, 71, 199
나라, 50, 154
마마, 93, 188
마자, 99, 146
바가, 42, 160
가마, 54, 179
라마, 45, 156
다가, 98, 193
가다, 49, 154
파다, 77, 150
사가, 85, 144
바자, 47, 166
파라, 56, 149
사카, 63, 153
타라, 60, 172
사마, 90, 148
카자, 91, 147
카라, 44, 142
사카, 54, 143
사아, 60, 154
나카, 76, 177
가마, 95, 169
차파, 89, 156
바나, 77, 199
사가, 81, 192
카차, 55, 158
카바, 46, 175
타라, 96, 146
하마, 95, 158
마라, 79, 173
자타, 98, 186
자나, 88, 159
카하, 48, 189
라타, 75, 183
하나, 59, 144
다마, 58, 195
아다, 68, 158
사파, 40, 163
타하, 44, 189
파하, 96, 168
아다, 42, 143
라마, 41, 173
사마, 78, 177
차마, 44, 151
나다, 83, 186
파사, 72, 174
나하, 71, 188
타카, 58, 162
자다, 66, 147
하차, 64, 199
타차, 93, 184
타자, 57, 193
가자, 90, 176
사바, 65, 168
아가, 89, 184
가가, 82, 147
하카, 56, 198
카자, 99, 199
차사, 76, 182
바다, 79, 140
바자, 96, 151
라자, 49, 198
라바, 40, 167
자마, 70, 170
다다, 64, 150
바사, 85, 184
가하, 63, 176
아바, 81, 179
바타, 80, 168
카아, 72, 184
하타, 77, 152
타가, 62, 143
아마, 68, 177
나바, 44, 173
타다, 84, 175
다마, 98, 157
차타, 61, 177
나차, 55, 195
타카, 40, 163
타차, 61, 158
사바, 76, 184
파아, 81, 160
파파, 76, 155
바카, 98, 177
파자, 64, 142
자파, 78, 155
파마, 48, 190
라아, 46, 182
카카, 49, 160
바라, 84, 173
차다, 88, 188
파아, 99, 150
자자, 49, 186
사가, 46, 189
카아, 58, 183
다나, 44, 164
타바, 59, 163
아라, 84, 164
나나, 62, 165
마하, 76, 183
라가, 95, 146
차자, 80, 194
카라, 63, 156
나하, 86, 168
파사, 80, 164
가자, 92, 194
하라, 62, 196
가가, 41, 182
파나, 83, 169
사파, 98, 164
차파, 49, 188
가다, 45, 151
나사, 49, 157
가자, 70, 187
마파, 56, 198
가마, 87, 199
나파, 71, 142
파라, 55, 175
하마, 71, 154
마다, 48, 163
다타, 94, 174
자타, 97, 172
가가, 42, 151
아자, 80, 194
사라, 91, 170
파사, 54, 165
바카, 90, 142
